NUTS2_Label_2016,score
Arnsberg,80.46
Berlin,76.91
Brandenburg,76.03
Braunschweig,76.05
Bremen,78.52
Chemnitz,86.02
Darmstadt,78.87
Detmold,72.04
Dresden,80.81
Düsseldorf,78.43
Freiburg,74.35
Gießen,77.66
Hamburg,78.43
Hannover,73.25
Karlsruhe,76.53
Kassel,80.78
Koblenz,67.48
Köln,78.66
Leipzig,78.88
Lüneburg,76.78
Mecklenburg-Vorpommern,81.07
Mittelfranken,70.07
Münster,77.16
Niederbayern,79.38
Oberbayern,75.64
Oberfranken,84.62
Oberpfalz,75.43
Rheinhessen-Pfalz,71.99
Saarland,78.75
Sachsen-Anhalt,76.11
Schleswig-Holstein,71.58
Schwaben,60.66
Stuttgart,79.06
Thüringen,78.55
Trier,77.82
Tübingen,79.26
Unterfranken,66.64
Weser-Ems,76.98
