NUTS2_Label_2016,score
Alsace,76.97
Aquitaine,76.06
Auvergne,75.09
Basse-Normandie,60.25
Bourgogne,55.82
Bretagne,69.18
Centre — Val de Loire,73.99
Champagne-Ardenne,79.53
Corse,74.72
Extra-Regio NUTS 2,74.06
Franche-Comté,65.02
Guadeloupe,75.83
Guyane,74.32
Haute-Normandie,57.03
Ile-de-France,74.14
La Réunion,71.8
Languedoc-Roussillon,76.54
Limousin,79.96
Lorraine,73.09
Midi-Pyrénées,77.11
Nord-Pas de Calais,74.38
Pays de la Loire,75.99
Picardie,57.62
Poitou-Charentes,79.92
Provence-Alpes-Côte d’Azur,70.33
Rhône-Alpes,73.89
