NUTS2_Label_2016,score
Chemnitz,73.81
Oberbayern,73.1
Oberfranken,72.7
Mecklenburg-Vorpommern,70.27
Niederbayern,70.17
Oberpfalz,70.15
Trier,68.79
Bremen,68.47
Lüneburg,67.96
Kassel,67.89
Hamburg,66.91
Arnsberg,65.68
Stuttgart,64.92
Köln,64.76
Dresden,64.65
Darmstadt,64.5
Düsseldorf,64.15
Weser-Ems,63.8
Brandenburg,63.47
Tübingen,63.41
Schwaben,63.33
Karlsruhe,63.16
Leipzig,63.1
Saarland,63.0
Thüringen,62.84
Gießen,62.12
Berlin,62.1
Münster,61.73
Rheinhessen-Pfalz,61.06
Mittelfranken,60.96
Sachsen-Anhalt,60.89
Braunschweig,60.84
Hannover,60.11
Freiburg,59.48
Detmold,59.31
Unterfranken,58.22
Schleswig-Holstein,57.27
Koblenz,53.99
