ETER_ID,country,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime_https,assessment_datetime_sh,score,grade
DE0001,de,Albert-Ludwigs-Universität Freiburg,public,University,Yes,DE13,Freiburg,Freiburg,DE131,"Freiburg im Breisgau, Stadtkreis","Freiburg im Breisgau, Stadtkreis",2025-01-27 12:09:59.705352,2025-01-28 12:00:55.863392,73.6,B
DE0002,de,Ruprecht-Karls-Universität Heidelberg,public,University,Yes,DE12,Karlsruhe,Karlsruhe,DE125,"Heidelberg, Stadtkreis","Heidelberg, Stadtkreis",2025-01-27 12:11:41.002050,2025-01-28 12:00:52.276126,72.52,B
DE0003,de,Universität Hohenheim,public,University,No,DE11,Stuttgart,Stuttgart,DE111,"Stuttgart, Stadtkreis","Stuttgart, Stadtkreis",2025-01-27 12:10:50.739168,2025-01-28 12:00:51.327604,85.64,A
DE0004,de,Karlsruher Institut für Technologie (KIT) - Bereich Hochschule,public,University,Yes,DE12,Karlsruhe,Karlsruhe,DE122,"Karlsruhe, Stadtkreis","Karlsruhe, Stadtkreis",2025-01-27 12:10:10.838252,2025-01-28 12:00:51.392749,78.94,B
DE0005,de,Universität Konstanz,public,University,Yes,DE13,Freiburg,Freiburg,DE138,Konstanz,Konstanz,2025-01-27 12:11:09.893010,2025-01-28 12:01:19.926752,76.57,B
DE0006,de,Universität Mannheim,public,University,Yes,DE12,Karlsruhe,Karlsruhe,DE126,"Mannheim, Stadtkreis","Mannheim, Stadtkreis",2025-01-27 12:11:31.757767,2025-01-28 12:01:19.511907,78.66,B
DE0007,de,Universität Stuttgart,public,University,No,DE11,Stuttgart,Stuttgart,DE111,"Stuttgart, Stadtkreis","Stuttgart, Stadtkreis",2025-01-27 12:09:47.100210,2025-01-28 12:01:20.427981,74.39,B
DE0008,de,Eberhard Karls Universität Tübingen,public,University,Yes,DE14,Tübingen,Tübingen,DE142,"Tübingen, Landkreis","Tübingen, Landkreis",2025-01-27 12:11:57.107026,2025-01-28 12:01:33.293433,78.75,B
DE0009,de,Universität Ulm,public,University,No,DE14,Tübingen,Tübingen,DE144,"Ulm, Stadtkreis","Ulm, Stadtkreis",2025-01-27 12:10:17.894071,2025-01-28 12:01:47.071916,80.64,A
DE0012,de,Zeppelin Universität Friedrichshafen (Priv. H),private,University,No,DE14,Tübingen,Tübingen,DE147,Bodenseekreis,Bodenseekreis,2025-01-27 12:10:35.686821,2025-01-28 12:02:15.005850,86.22,A
DE0013,de,Allensbach Hochschule,private,University of applied sciences,No,DE13,Freiburg,Freiburg,DE138,Konstanz,Konstanz,2025-01-27 12:12:47.916761,2025-01-28 12:02:04.258144,80.01,A
DE0014,de,"Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik",private,University,No,DE11,Stuttgart,Stuttgart,DE111,"Stuttgart, Stadtkreis","Stuttgart, Stadtkreis",2025-01-27 12:13:22.466890,2025-01-28 12:02:02.661350,87.41,A
DE0015,de,Hochschule für jüdische Studien Heidelberg,private,University,No,DE12,Karlsruhe,Karlsruhe,DE125,"Heidelberg, Stadtkreis","Heidelberg, Stadtkreis",2025-01-27 12:14:06.472718,2025-01-28 12:02:36.658366,87.02,A
DE0016,de,Universität Augsburg,public,University,No,DE27,Schwaben,Schwaben,DE271,"Augsburg, Kreisfreie Stadt","Augsburg, Kreisfreie Stadt",2025-01-27 12:14:03.628837,2025-01-28 12:02:59.812747,81.08,A
DE0017,de,Otto-Friedrich-Universität Bamberg,public,University,No,DE24,Oberfranken,Oberfranken,DE241,"Bamberg, Kreisfreie Stadt","Bamberg, Kreisfreie Stadt",2025-01-27 12:16:56.492597,2025-01-28 12:02:41.761593,91.51,A
DE0018,de,Universität Bayreuth,public,University,No,DE24,Oberfranken,Oberfranken,DE242,"Bayreuth, Kreisfreie Stadt","Bayreuth, Kreisfreie Stadt",2025-01-27 12:32:56.076334,2025-01-28 12:03:06.782658,91.35,A
DE0020,de,Friedrich-Alexander-Universität Erlangen-Nürnberg,public,University,Yes,DE25,Mittelfranken,Mittelfranken,DE252,"Erlangen, Kreisfreie Stadt","Erlangen, Kreisfreie Stadt",2025-01-27 12:15:45.798147,2025-01-28 12:03:08.817667,73.6,B
DE0021,de,Ludwig-Maximilians-Universität München,public,University,Yes,DE21,Oberbayern,Oberbayern,DE212,"München, Kreisfreie Stadt","München, Kreisfreie Stadt",2025-01-27 12:14:33.979452,2025-01-28 12:03:51.886907,76.24,B
DE0022,de,Technische Universität München,public,University,Yes,DE21,Oberbayern,Oberbayern,DE212,"München, Kreisfreie Stadt","München, Kreisfreie Stadt",2025-01-27 12:16:20.834059,2025-01-28 12:03:49.095789,89.58,A
DE0023,de,Universität der Bundeswehr München,public,University,No,DE21,Oberbayern,Oberbayern,DE21H,"München, Landkreis","München, Landkreis",2025-01-27 12:17:20.298604,2025-01-28 12:04:10.352534,80.8,A
DE0024,de,Hochschule für Politik München,public,University,No,DE21,Oberbayern,Oberbayern,DE212,"München, Kreisfreie Stadt","München, Kreisfreie Stadt",2025-01-27 12:17:58.425439,2025-01-28 12:04:13.025490,88.24,A
DE0025,de,Universität Passau,public,University,No,DE22,Niederbayern,Niederbayern,DE222,"Passau, Kreisfreie Stadt","Passau, Kreisfreie Stadt",2025-01-27 12:18:31.887568,2025-01-28 12:04:26.600312,84.75,A
DE0026,de,Universität Regensburg,public,University,No,DE23,Oberpfalz,Oberpfalz,DE232,"Regensburg, Kreisfreie Stadt","Regensburg, Kreisfreie Stadt",2025-01-27 12:19:33.699548,2025-01-28 12:04:39.846840,80.42,A
