ETER_ID,country,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime_https,assessment_datetime_sh,score,grade
FR0002,fr,Université de technologie de Troyes,public,Other,Yes,FRF2,Champagne-Ardenne,Champagne-Ardenne,FRF22,Aube,Aube,2025-01-27 09:24:07.291204,2025-01-28 16:41:50.222384,71.8,B
FR0003,fr,École de l'air,public,Other,No,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-01-27 09:25:03.993297,2025-01-28 16:41:58.466214,71.8,B
FR0004,fr,École nationale supérieure d'architecture de Marseille,public,Other,No,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-01-27 09:26:07.167421,2025-01-28 16:41:52.466491,77.42,B
FR0005,fr,École supérieure d'art et de design Marseille-Mediterranée,public,Other,No,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-01-27 09:23:57.368094,2025-01-28 16:41:48.972352,16.0,F
FR0006,fr,École centrale de Marseille,public,Other,No,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-01-27 09:26:02.674007,2025-01-28 16:42:18.094922,73.55,B
FR0007,fr,Aix-Marseille université,public,University,Yes,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,2025-01-27 09:25:45.592127,2025-01-28 16:42:17.792917,84.94,A
FR0008,fr,Université de Caen Basse-Normandie,public,University,No,FRD1,Basse-Normandie,Basse-Normandie,FRD11,Calvados,Calvados,2025-01-27 09:25:08.191819,2025-01-28 16:42:20.440188,75.08,B
FR0009,fr,École supérieure d'arts et médias de Caen - Cherbourg,public,Other,No,FRD1,Basse-Normandie,Basse-Normandie,FRD11,Calvados,Calvados,2025-01-27 09:25:11.778165,2025-01-28 16:42:35.238076,72.59,B
FR0010,fr,École nationale supérieure d'ingénieurs de Caen,public,Other,No,FRD1,Basse-Normandie,Basse-Normandie,FRD11,Calvados,Calvados,2025-01-27 09:25:24.623219,2025-01-28 16:42:52.411252,71.8,B
FR0011,fr,École supérieure d'ingénieurs des travaux de la construction de Caen,private,Other,No,FRD1,Basse-Normandie,Basse-Normandie,FRD11,Calvados,Calvados,2025-01-27 09:25:20.358064,2025-01-28 16:42:49.941450,11.2,F
FR0013,fr,École d'ingénieurs en génie des systèmes industriels,private,Other,No,FRI3,Poitou-Charentes,Poitou-Charentes,FRI32,Charente-Maritime,Charente-Maritime,2025-01-27 09:27:06.700365,2025-01-28 16:42:51.147441,75.54,B
FR0014,fr,Université de La Rochelle,public,University,Yes,FRI3,Poitou-Charentes,Poitou-Charentes,FRI32,Charente-Maritime,Charente-Maritime,2025-01-27 09:28:06.001558,2025-01-28 16:43:05.828085,80.86,A
FR0015,fr,École nationale supérieure d'art de Bourges,public,Other,No,FRB0,Centre — Val de Loire,Centre — Val de Loire,FRB01,Cher,Cher,2025-01-27 09:27:43.224324,2025-01-28 16:43:19.987560,74.26,B
FR0017,fr,École nationale supérieure d'art de Dijon,public,Other,No,FRC1,Bourgogne,Bourgogne,FRC11,Côte-d’Or,Côte-d’Or,2025-01-27 09:37:57.043720,2025-01-28 16:43:16.930945,11.2,F
FR0018,fr,Université de Bourgogne,public,University,Yes,FRC1,Bourgogne,Bourgogne,FRC11,Côte-d’Or,Côte-d’Or,2025-01-27 09:29:51.900033,2025-01-28 16:43:22.409339,67.6,B
FR0020,fr,"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement",public,Other,No,FRC1,Bourgogne,Bourgogne,FRC11,Côte-d’Or,Côte-d’Or,2025-01-27 09:28:32.148139,2025-01-28 16:43:35.228204,71.9,B
FR0021,fr,École nationale supérieure de mécanique et des microtechniques,public,Other,No,FRC2,Franche-Comté,Franche-Comté,FRC21,Doubs,Doubs,2025-01-27 09:27:41.418376,2025-01-28 16:43:37.977129,78.95,B
FR0022,fr,Université de Franche-Comté,public,University,No,FRC2,Franche-Comté,Franche-Comté,FRC21,Doubs,Doubs,2025-01-27 09:54:05.602997,2025-01-28 16:43:53.312258,79.19,B
FR0023,fr,École nationale d'ingénieurs de Brest,public,Other,No,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,2025-01-27 09:29:26.567849,2025-01-28 16:43:48.019762,79.55,B
FR0024,fr,École Navale,public,Other,No,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,2025-01-27 09:29:38.142892,2025-01-28 16:43:58.791901,80.64,A
FR0025,fr,École nationale supérieure de techniques avancées Bretagne,public,Other,No,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,2025-01-27 09:30:23.043003,2025-01-28 16:44:07.732299,81.04,A
FR0026,fr,Université de Bretagne Occidentale,public,University,Yes,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,2025-01-27 09:33:05.527936,2025-01-28 16:44:15.614698,77.03,B
FR0028,fr,Institut supérieur de l'électronique et du numérique Brest,private,Other,No,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,2025-01-27 09:30:54.735815,2025-01-28 16:44:25.284134,71.8,B
FR0029,fr,École des mines d'Alès,public,Other,No,FRJ1,Languedoc-Roussillon,Languedoc-Roussillon,FRJ12,Gard,Gard,2025-01-27 09:30:30.177213,2025-01-28 16:44:22.395375,72.23,B
FR0030,fr,Université de Nîmes,public,University,No,FRJ1,Languedoc-Roussillon,Languedoc-Roussillon,FRJ12,Gard,Gard,2025-01-27 09:32:13.297885,2025-01-28 16:44:42.198970,71.2,B
FR0032,fr,École nationale supérieure d'architecture de Toulouse,public,Other,No,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,2025-01-27 09:32:51.729737,2025-01-28 16:44:51.403727,77.03,B
