ETER_ID,country,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime_https,assessment_datetime_sh,score,grade
IT0001,it,Università Politecnica delle MARCHE,public,University,No,ITI3,Marche,Marche,ITI32,Ancona,Ancona,2025-01-27 15:34:09.392513,2025-01-28 11:19:57.484429,87.64,A
IT0002,it,Università della VALLE D'AOSTA,public,University,No,ITC2,Valle d’Aosta/Vallée d’Aoste,Valle d’Aosta/Vallée d’Aoste,ITC20,Valle d’Aosta/Vallée d’Aoste,Valle d’Aosta/Vallée d’Aoste,2025-01-27 15:35:08.445304,2025-01-28 11:19:57.651030,71.8,B
IT0003,it,Università della CALABRIA,public,University,No,ITF6,Calabria,Calabria,ITF61,Cosenza,Cosenza,2025-01-27 15:35:05.866166,2025-01-28 11:20:03.566468,93.02,A
IT0004,it,Politecnico di BARI,public,University,No,ITF4,Puglia,Puglia,ITF47,Bari,Bari,2025-01-27 15:34:26.621291,2025-01-28 11:20:01.773935,21.23,E
IT0005,it,Università degli Studi di BARI ALDO MORO,public,University,No,ITF4,Puglia,Puglia,ITF47,Bari,Bari,2025-01-27 15:35:33.870847,2025-01-28 11:20:25.776884,73.29,B
IT0006,it,Università degli Studi del SANNIO di BENEVENTO,public,University,No,ITF3,Campania,Campania,ITF32,Benevento,Benevento,2025-01-27 15:36:16.996358,2025-01-28 11:20:27.248734,77.03,B
IT0007,it,"Università Telematica ""GIUSTINO FORTUNATO""",private,University,No,ITF3,Campania,Campania,ITF32,Benevento,Benevento,2025-01-27 15:36:54.952810,2025-01-28 11:20:32.078917,70.6,B
IT0008,it,Università degli Studi di BERGAMO,public,University,No,ITC4,Lombardia,Lombardia,ITC46,Bergamo,Bergamo,2025-01-27 15:41:12.516505,2025-01-28 11:20:42.907927,93.56,A
IT0009,it,Università degli Studi di BOLOGNA,public,University,Yes,ITH5,Emilia-Romagna,Emilia-Romagna,ITH55,Bologna,Bologna,2025-01-27 15:35:14.283947,2025-01-28 11:20:55.009315,77.03,B
IT0010,it,Libera Università di BOLZANO,public,University,No,ITH1,Provincia Autonoma di Bolzano/Bozen,Provincia Autonoma di Bolzano/Bozen,ITH10,Bolzano-Bozen,Bolzano-Bozen,2025-01-27 15:39:20.772572,2025-01-28 11:20:57.408718,71.8,B
IT0011,it,Università degli Studi di SCIENZE GASTRONOMICHE,private,University,No,ITC1,Piemonte,Piemonte,ITC16,Cuneo,Cuneo,2025-01-27 15:38:34.404063,2025-01-28 11:21:52.953660,71.8,B
IT0012,it,Università degli Studi di BRESCIA,public,University,No,ITC4,Lombardia,Lombardia,ITC47,Brescia,Brescia,2025-01-27 15:43:30.093256,2025-01-28 11:21:23.400132,93.56,A
IT0013,it,Università degli Studi di CAGLIARI,public,University,Yes,ITG2,Sardegna,Sardegna,ITG2F,,Cagliari,2025-01-27 15:38:35.809004,2025-01-28 11:21:46.747375,77.03,B
